file_name,site_id,flag_rain,flag_anthrophony
S4A25468_20240509_161200.wav,site_1,FALSE,FALSE
S4A25468_20240509_161800.wav,site_1,FALSE,FALSE
S4A25468_20240509_161800.wav,site_1,FALSE,FALSE
S4A25468_20240509_162400.wav,site_1,FALSE,FALSE
S4A25468_20240509_162400.wav,site_1,FALSE,FALSE
S4A25468_20240509_163000.wav,site_1,FALSE,FALSE
S4A25468_20240509_163000.wav,site_1,FALSE,FALSE
S4A25468_20240509_163600.wav,site_1,FALSE,FALSE
S4A25468_20240509_163600.wav,site_1,FALSE,FALSE
S4A25468_20240509_164200.wav,site_1,FALSE,FALSE
S4A25468_20240509_164200.wav,site_1,FALSE,FALSE
S4A25468_20240509_164800.wav,site_1,FALSE,FALSE
S4A25468_20240509_164800.wav,site_1,FALSE,FALSE
S4A25468_20240509_165400.wav,site_1,FALSE,FALSE
S4A25468_20240509_165400.wav,site_1,FALSE,FALSE
S4A25468_20240509_170000.wav,site_1,FALSE,FALSE
S4A25468_20240509_170000.wav,site_1,FALSE,FALSE
S4A25468_20240509_170600.wav,site_1,FALSE,FALSE
S4A25468_20240509_170600.wav,site_1,FALSE,FALSE
S4A25468_20240509_171200.wav,site_1,FALSE,FALSE
S4A25468_20240509_171200.wav,site_1,FALSE,FALSE
S4A25468_20240509_171800.wav,site_1,FALSE,FALSE
S4A25468_20240509_171800.wav,site_1,FALSE,FALSE
S4A25468_20240509_172400.wav,site_1,FALSE,FALSE
S4A25468_20240509_172400.wav,site_1,FALSE,FALSE
S4A25468_20240509_173000.wav,site_1,FALSE,FALSE
S4A25468_20240509_173000.wav,site_1,FALSE,FALSE
S4A25468_20240509_173600.wav,site_1,FALSE,FALSE
S4A25468_20240509_173600.wav,site_1,FALSE,FALSE
S4A25468_20240509_174200.wav,site_1,FALSE,FALSE
S4A25468_20240509_174200.wav,site_1,FALSE,FALSE
S4A25468_20240509_174800.wav,site_1,FALSE,FALSE
S4A25468_20240509_174800.wav,site_1,FALSE,FALSE
S4A25468_20240509_175400.wav,site_1,FALSE,FALSE
S4A25468_20240509_175400.wav,site_1,FALSE,FALSE
S4A25468_20240509_180000.wav,site_1,FALSE,FALSE
S4A25468_20240509_180000.wav,site_1,FALSE,FALSE
S4A25468_20240509_180600.wav,site_1,FALSE,FALSE
S4A25468_20240509_180600.wav,site_1,FALSE,FALSE
S4A25468_20240509_181200.wav,site_1,FALSE,FALSE
S4A25468_20240509_181200.wav,site_1,FALSE,FALSE
S4A25468_20240509_181800.wav,site_1,FALSE,FALSE
S4A25468_20240509_181800.wav,site_1,FALSE,FALSE
S4A25468_20240509_182400.wav,site_1,FALSE,FALSE
S4A25468_20240509_182400.wav,site_1,FALSE,FALSE
S4A25468_20240509_183000.wav,site_1,FALSE,FALSE
S4A25468_20240509_183000.wav,site_1,FALSE,FALSE
S4A25468_20240509_183600.wav,site_1,FALSE,FALSE
S4A25468_20240509_183600.wav,site_1,FALSE,FALSE
S4A25468_20240509_184200.wav,site_1,FALSE,FALSE
S4A25468_20240509_184200.wav,site_1,FALSE,FALSE
S4A25468_20240509_184800.wav,site_1,FALSE,FALSE
S4A25468_20240509_184800.wav,site_1,FALSE,FALSE
S4A25468_20240509_185400.wav,site_1,TRUE,FALSE
S4A25468_20240509_185400.wav,site_1,TRUE,FALSE
S4A25468_20240509_190000.wav,site_1,FALSE,FALSE
S4A25468_20240509_190000.wav,site_1,FALSE,FALSE
S4A25468_20240509_190600.wav,site_1,FALSE,FALSE
S4A25468_20240509_190600.wav,site_1,FALSE,FALSE
S4A25468_20240509_191200.wav,site_1,FALSE,FALSE
S4A25468_20240509_191200.wav,site_1,FALSE,FALSE
S4A25468_20240509_191800.wav,site_1,FALSE,FALSE
S4A25468_20240509_191800.wav,site_1,FALSE,FALSE
S4A25468_20240509_192400.wav,site_1,TRUE,FALSE
S4A25468_20240509_192400.wav,site_1,TRUE,FALSE
S4A25468_20240509_193000.wav,site_1,FALSE,FALSE
S4A25468_20240509_193000.wav,site_1,FALSE,FALSE
S4A25468_20240509_193600.wav,site_1,FALSE,FALSE
S4A25468_20240509_193600.wav,site_1,FALSE,FALSE
S4A25468_20240509_194200.wav,site_1,FALSE,FALSE
S4A25468_20240509_194200.wav,site_1,FALSE,FALSE
S4A25468_20240509_194800.wav,site_1,FALSE,FALSE
S4A25468_20240509_194800.wav,site_1,FALSE,FALSE
S4A25468_20240509_195400.wav,site_1,FALSE,FALSE
S4A25468_20240509_195400.wav,site_1,FALSE,FALSE
S4A25468_20240509_200000.wav,site_1,FALSE,FALSE
S4A25468_20240509_200000.wav,site_1,FALSE,FALSE
