file_name,site_id,serial,date_yyyymmdd,time_hhmmss,date_utc,date_local,date_str,duration_s,samp_rate_hz,ADI,AEI,ACI,BI,NDSI,H_spectral,H_temporal,H_total,ZCR,SSI,SSI_thr,flag_rain,rain_hf_ratio,rain_score_v2,rain_entropy,rain_sfm,error
S4A25468_20240509_133600.wav,Site_1,S4A25468,20240509.0,133600.0,2024-05-09T13:36:00Z,2024-05-09T09:36:00,05/09/2024 09:36,60.0,24000.0,2.905424742703358,0.65859914,1211.5166015625,5382.43505859375,0.6987712,0.9532397064153384,0.9929996196652278,0.9731196630402832,545.3333333333334,0.0614674819500028,12.0,True,0.07913647,3.0,0.9984452775412797,0.8981568,
S4A25468_20240509_134800.wav,Site_1,S4A25468,20240509.0,134800.0,2024-05-09T13:48:00Z,2024-05-09T09:48:00,05/09/2024 09:48,60.0,24000.0,2.9610391821674416,0.68598807,1182.9375,3659.20361328125,0.5193638,0.9621137450047798,0.9980195859242555,0.9800666654645176,249.9,0.0476650380638563,12.0,True,0.11090274,3.0,0.9983368641917524,0.9526389,
S4A25468_20240509_140000.wav,Site_1,S4A25468,20240509.0,140000.0,2024-05-09T14:00:00Z,2024-05-09T10:00:00,05/09/2024 10:00,60.0,24000.0,2.8603101731596543,0.6361663,1219.172607421875,3619.931640625,0.6012229,0.9514139484158788,0.9952344946258588,0.9733242215208688,81.83333333333333,0.0725422616116855,12.0,True,0.059029076,3.0,0.9972209280329214,0.85924375,
S4A25468_20240509_140600.wav,Site_1,S4A25468,20240509.0,140600.0,2024-05-09T14:06:00Z,2024-05-09T10:06:00,05/09/2024 10:06,60.0,24000.0,2.9262254989039,0.6588981,1185.5087890625,3149.52978515625,0.55465645,0.9524180041221836,0.9960099708602116,0.9742139874911976,312.2,0.0525431313220579,12.0,True,0.07573794,3.0,0.998630739468046,0.9629419,
S4A25468_20240509_141200.wav,Site_1,S4A25468,20240509.0,141200.0,2024-05-09T14:12:00Z,2024-05-09T10:12:00,05/09/2024 10:12,60.0,24000.0,2.8903293258998506,0.643289,1181.9188232421875,3329.4091796875,0.58258057,0.9493170683419712,0.9918102243635016,0.9705636463527364,403.8,0.056631471451757,12.0,True,0.060837943,3.0,0.9987567568143612,0.96632284,
S4A25468_20240509_141800.wav,Site_1,S4A25468,20240509.0,141800.0,2024-05-09T14:18:00Z,2024-05-09T10:18:00,05/09/2024 10:18,60.0,24000.0,2.987365614282949,0.68759686,1188.35546875,3632.294189453125,0.5785733,0.964851244670723,0.9929547975551182,0.9789030211129206,555.6166666666667,0.0558066493566247,12.0,True,0.109833226,3.0,0.998690578783586,0.9617453,
S4A25468_20240509_143000.wav,Site_1,S4A25468,20240509.0,143000.0,2024-05-09T14:30:00Z,2024-05-09T10:30:00,05/09/2024 10:30,60.0,24000.0,2.9420026155594066,0.67041636,1193.2933349609375,3395.4140625,0.5579891,0.9605614241475472,0.9967966576201368,0.978679040883842,415.8666666666667,0.0538778561919871,12.0,True,0.0937403,3.0,0.998649217632178,0.9632133,
S4A25468_20240509_143600.wav,Site_1,S4A25468,20240509.0,143600.0,2024-05-09T14:36:00Z,2024-05-09T10:36:00,05/09/2024 10:36,60.0,24000.0,2.971940765177864,0.6858815,1184.406494140625,3821.974609375,0.5653297,0.9635268129589648,0.9974015842001386,0.9804641985795516,600.4333333333333,0.0449387765980577,12.0,True,0.089014,3.0,0.998658778616209,0.96431786,
S4A25468_20240509_144200.wav,Site_1,S4A25468,20240509.0,144200.0,2024-05-09T14:42:00Z,2024-05-09T10:42:00,05/09/2024 10:42,60.0,24000.0,2.9839750725071323,0.6884359,1187.497802734375,3103.98779296875,0.5756136,0.9612965260550088,0.9905825993018192,0.975939562678414,211.61666666666667,0.0459712069756382,12.0,True,0.057238754,3.0,0.9988179294555352,0.96669656,
S4A25468_20240509_144800.wav,Site_1,S4A25468,20240509.0,144800.0,2024-05-09T14:48:00Z,2024-05-09T10:48:00,05/09/2024 10:48,60.0,24000.0,2.9539945350148407,0.67647815,1179.226318359375,3406.135498046875,0.5446276,0.9585326179888812,0.9976282312043244,0.9780804245966028,466.56666666666666,0.0477162387551358,12.0,True,0.090552226,3.0,0.9986441652389758,0.9638414,
